epoch,loss,val_loss
0,8.855517387390137,8.767200469970703
1,8.680171012878418,8.593552589416504
2,8.508275985717773,8.423384666442871
3,8.339787483215332,8.25658893585205
4,8.174627304077148,8.093066215515137
5,8.0127534866333,7.9328107833862305
6,7.8540778160095215,7.775714874267578
7,7.698543071746826,7.62171745300293
8,7.546091079711914,7.470812797546387
9,7.396656513214111,7.322865009307861
10,7.250179767608643,7.177852630615234
11,7.106605052947998,7.03570032119751
12,6.9658732414245605,6.896365642547607
13,6.82792854309082,6.7598114013671875
14,6.692715644836426,6.625930309295654
15,6.560182094573975,6.494736194610596
16,6.430269241333008,6.366103649139404
17,6.3029303550720215,6.240050315856934
18,6.178116321563721,6.116467475891113
19,6.0557637214660645,5.995357513427734
20,5.935847282409668,5.876631736755371
21,5.818299770355225,5.760252952575684
22,5.7030816078186035,5.64617919921875
23,5.59014368057251,5.534363746643066
24,5.4794416427612305,5.424761772155762
25,5.370932579040527,5.3173394203186035
26,5.264571189880371,5.212039947509766
27,5.1603193283081055,5.108826637268066
28,5.058128833770752,5.007670879364014
29,4.957962512969971,4.90850305557251
30,4.859780788421631,4.81128454208374
31,4.76354455947876,4.71600866317749
32,4.6692118644714355,4.622620582580566
33,4.576746463775635,4.531083583831787
34,4.486114025115967,4.441349506378174
35,4.397275924682617,4.353397846221924
36,4.310198783874512,4.267192840576172
37,4.224842071533203,4.182683944702148
38,4.141178131103516,4.099854946136475
39,4.059168338775635,4.018675327301025
40,3.978787899017334,3.939087390899658
41,3.8999969959259033,3.861084461212158
42,3.8227648735046387,3.7846269607543945
43,3.747062921524048,3.7096774578094482
44,3.672858715057373,3.636209487915039
45,3.600125789642334,3.564208507537842
46,3.5288326740264893,3.493623971939087
47,3.458951473236084,3.424438953399658
48,3.3904547691345215,3.356627941131592
49,3.323312759399414,3.2901594638824463
50,3.2575008869171143,3.225004196166992
51,3.1929931640625,3.161133289337158
52,3.1297624111175537,3.098539352416992
0,8.855182647705078,8.766846656799316
0,8.85258960723877,8.764281272888184
